country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,generosity1,trust_government_corruption,year
Belarus,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.13942000000000002,0.17457,2016
Belarus,5.5689997673034695,1.15655755996704,1.4449452161788898,0.6377142667770389,0.295400261878967,0.15513750910759,0.156313821673393,2017
Belarus,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154,2018
Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,2019
Belarus,5.539899826,1.0188544990000001,0.90674746,0.75258857,0.29075586800000003,0.08993306,0.193607435,2020
Belgium,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2225,0.2254,2015
Belgium,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.2424,0.26248,2016
Belgium,6.89099979400635,1.4637807607650801,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.23150333762168898,0.251343131065369,2017
Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,2018
Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,2019
Belgium,6.863500117999999,1.2958427670000001,0.911632538,0.964901149,0.499805421,0.146966159,0.208724052,2020
Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.23684000000000002,0.10770999999999999,2016
Belize,5.955999851226809,0.907975316047668,1.0814177989959701,0.45019176602363603,0.5475093722343439,0.24001564085483604,0.0965810716152191,2017
Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000001,2018
Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015
Benin,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.2018,0.06681000000000001,2016
Benin,3.65700006484985,0.43108540773391707,0.43529984354972795,0.20993021130561804,0.42596277594566295,0.207948461174965,0.0609290152788162,2017
Benin,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067,2018
Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,2019
Benin,5.21600008,0.366244704,0.46867114299999996,0.328062952,0.40583989,0.196670428,0.125931874,2020
Bhutan,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.47998,0.15445,2015
Bhutan,5.196000000000001,0.8527,0.9083600000000001,0.49759,0.46074,0.48546000000000006,0.1616,2016
