Country,Happiness Score 2019,Happiness Score 2020,Percent Change,Average Cases in 2020
Slovenia,6.118,6.363399982,4.011114449,18598.46689
South Africa,4.722,4.814099789,1.950440258,406609.755
South Korea,5.895,5.872399807,-0.383379016,17436.58261
South Sudan,2.853,2.816600084,-1.275847038,2074.468635
Spain,6.354,6.400899887,0.738115943,556770.5851
Sri Lanka,4.366,4.327000141,-0.893262918,6276.702941
Sweden,7.343,7.353499889,0.142991815,89262.51045
Switzerland,7.48,7.559899807,1.068179238,93221.92283
Tajikistan,5.467,5.555699825,1.622458844,8152.036585
Tanzania,3.231,3.476200104,7.588984958,444.1237113
Thailand,6.008,5.998799801,-0.153132473,2821.35942
Togo,4.085,4.187200069,2.501837674,1268.202658
Tunisia,4.461,4.392199993,-1.542255257,25246.14851
Turkey,5.373,5.131800175,-4.489108971,374259.6182
Uganda,4.189,4.43200016,5.800910957,6889.716783
Ukraine,4.332,4.56069994,5.279315328,220093.75
United Arab Emirates,6.825,6.790800095,-0.501097509,65838.82249
United Kingdom,7.054,7.164500237,1.566490459,516844.625
United States,6.892,6.939599991,0.690655702,5008458.203
Uruguay,6.293,6.440100193,2.337520944,2592.020408
Uzbekistan,6.174,6.257599831,1.354062698,33163.83219
Venezuela,4.707,5.053199768,7.354998258,41980.29352
Vietnam,5.175,5.353499889,3.449273217,637.6075581
Yemen,3.38,3.527400017,4.360947249,1437.240602
Zambia,4.107,3.759399891,-8.463601388,8421.740484
Zimbabwe,3.663,3.299200058,-9.931748348,4656.038328
