Country,Happiness_Score,Economy_GDP_per_Capita,Family,Health_Life_Expectancy,Freedom,Generosity,Trust_Government_Corruption,Dystopia_Residual,Year
Laos,4.876,0.68042,0.5497,0.38291,0.52168,0.43078999999999995,0.22423,2.08637,2016
Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,2.8858599999999996,2016
Honduras,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.2044,0.06906,2.2955099999999997,2016
Iran,4.813,1.11758,0.38856999999999997,0.64232,0.22544,0.38538,0.0557,1.99817,2016
Zambia,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.17865999999999999,0.11479,2.5899099999999997,2016
Nepal,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.3816,0.07007999999999999,2.32694,2016
Palestinian Territories,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.11154000000000001,0.10613,2.40364,2016
Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,1.9281599999999999,2016
Bangladesh,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.19132000000000002,0.12583,2.6090400000000002,2016
Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196,3.01402,2016
Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13635999999999998,1.81657,2016
Namibia,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.07795,0.10397999999999999,1.92198,2016
Cameroon,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.2268,0.06126,2.5198,2016
Ethiopia,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.29522,0.1717,2.65614,2016
South Africa,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.13656,0.08415,1.6422700000000001,2016
Sri Lanka,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.46978000000000003,0.07964,0.91681,2016
India,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.25028,0.08722,2.18032,2016
Myanmar,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.81971,0.20243,1.50655,2016
Egypt,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.12705999999999998,0.10393,1.96895,2016
Armenia,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.07793,0.036160000000000005,1.9786400000000002,2016
Kenya,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.41328000000000004,0.06686,1.88326,2016
Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,1.50066,2016
Ghana,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.21203000000000002,0.0326,2.2002,2016
Congo (Kinshasa),4.272,0.05661,0.80676,0.188,0.15602,0.25458000000000003,0.06075,2.7492400000000004,2016
Georgia,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.06786,0.3188,1.87031,2016
Congo (Brazzaville),4.236000000000001,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.12077,0.09752999999999999,2.10681,2016
Senegal,4.218999999999999,0.44314,0.7741600000000001,0.40457,0.31056,0.19103,0.11681,1.9786099999999998,2016
Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.12793,0.00615,1.15377,2016
Mauritania,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.22685999999999998,0.17955,1.9263,2016
Zimbabwe,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582000000000001,2.4427,2016
Malawi,4.156000000000001,0.08709,0.147,0.29364,0.4143,0.30968,0.07564,2.82859,2016
Sudan,4.138999999999999,0.63069,0.8192799999999999,0.29759,0.0,0.18077000000000001,0.10039,2.10995,2016
Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.062439999999999996,0.09314,1.4533200000000002,2016
Mali,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.21064000000000002,0.13647,2.1108700000000002,2016
Haiti,4.0280000000000005,0.34097,0.29561,0.27494,0.12072000000000001,0.47958,0.14476,2.3711599999999997,2016
Botswana,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.12425,0.10769000000000001,0.96741,2016
Comoros,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.1827,0.18437,2.25632,2016
Ivory Coast,3.9160000000000004,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553,1.97478,2016
Cambodia,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.40339,0.08092,1.3157299999999998,2016
Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.12070999999999998,0.08434,2.09459,2016
Niger,3.8560000000000003,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.2097,0.17176,2.09469,2016
South Sudan,3.832,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.25899,0.13015,2.50929,2016
Chad,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.18667,0.04952,2.3063700000000003,2016
Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.24353000000000002,0.12533,1.8731900000000001,2016
Uganda,3.739,0.34719,0.90981,0.19625,0.43653000000000003,0.27102,0.06442,1.51416,2016
Yemen,3.7239999999999998,0.57939,0.47493,0.31048000000000003,0.2287,0.09821,0.05892000000000001,1.97295,2016
Madagascar,3.695,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.2204,0.07506,2.15075,2016
Tanzania,3.6660000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.31472,0.05099,1.3776899999999999,2016
Liberia,3.622,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.24063,0.04852,2.23284,2016
Guinea,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192,2.15604,2016
Rwanda,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.23551999999999998,0.50521,0.96819,2016
Benin,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.2018,0.06681000000000001,2.10812,2016
Afghanistan,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.31268,0.07112,2.14558,2016
Togo,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.17517,0.11587,2.1354,2016
Syria,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.48396999999999996,0.17232999999999998,0.81789,2016
Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419,2.1040400000000004,2016
